,id,terrestrial_date,sol,ls,month,min_temp,pressure
0,2,2012-08-16,10,155,6,-75.0,739.0
1,2,2012-08-16,10,155,6,-75.0,739.0
2,2,2012-08-16,10,155,6,-75.0,739.0
3,2,2012-08-16,10,155,6,-75.0,739.0
4,2,2012-08-16,10,155,6,-75.0,739.0
5,2,2012-08-16,10,155,6,-75.0,739.0
6,2,2012-08-16,10,155,6,-75.0,739.0
7,2,2012-08-16,10,155,6,-75.0,739.0
8,2,2012-08-16,10,155,6,-75.0,739.0
9,2,2012-08-16,10,155,6,-75.0,739.0
10,2,2012-08-16,10,155,6,-75.0,739.0
11,2,2012-08-16,10,155,6,-75.0,739.0
12,2,2012-08-16,10,155,6,-75.0,739.0
13,2,2012-08-16,10,155,6,-75.0,739.0
14,2,2012-08-16,10,155,6,-75.0,739.0
15,13,2012-08-17,11,156,6,-76.0,740.0
16,13,2012-08-17,11,156,6,-76.0,740.0
17,13,2012-08-17,11,156,6,-76.0,740.0
18,13,2012-08-17,11,156,6,-76.0,740.0
19,13,2012-08-17,11,156,6,-76.0,740.0
20,13,2012-08-17,11,156,6,-76.0,740.0
21,13,2012-08-17,11,156,6,-76.0,740.0
22,13,2012-08-17,11,156,6,-76.0,740.0
23,13,2012-08-17,11,156,6,-76.0,740.0
24,13,2012-08-17,11,156,6,-76.0,740.0
25,13,2012-08-17,11,156,6,-76.0,740.0
26,13,2012-08-17,11,156,6,-76.0,740.0
27,13,2012-08-17,11,156,6,-76.0,740.0
28,13,2012-08-17,11,156,6,-76.0,740.0
29,13,2012-08-17,11,156,6,-76.0,740.0
30,24,2012-08-18,12,156,6,-76.0,741.0
31,24,2012-08-18,12,156,6,-76.0,741.0
32,24,2012-08-18,12,156,6,-76.0,741.0
33,24,2012-08-18,12,156,6,-76.0,741.0
34,24,2012-08-18,12,156,6,-76.0,741.0
35,24,2012-08-18,12,156,6,-76.0,741.0
36,24,2012-08-18,12,156,6,-76.0,741.0
37,24,2012-08-18,12,156,6,-76.0,741.0
38,24,2012-08-18,12,156,6,-76.0,741.0
39,24,2012-08-18,12,156,6,-76.0,741.0
40,24,2012-08-18,12,156,6,-76.0,741.0
41,24,2012-08-18,12,156,6,-76.0,741.0
42,24,2012-08-18,12,156,6,-76.0,741.0
43,24,2012-08-18,12,156,6,-76.0,741.0
44,24,2012-08-18,12,156,6,-76.0,741.0
45,35,2012-08-19,13,157,6,-74.0,732.0
46,35,2012-08-19,13,157,6,-74.0,732.0
47,35,2012-08-19,13,157,6,-74.0,732.0
48,35,2012-08-19,13,157,6,-74.0,732.0
49,35,2012-08-19,13,157,6,-74.0,732.0
50,35,2012-08-19,13,157,6,-74.0,732.0
51,35,2012-08-19,13,157,6,-74.0,732.0
52,35,2012-08-19,13,157,6,-74.0,732.0
53,35,2012-08-19,13,157,6,-74.0,732.0
54,35,2012-08-19,13,157,6,-74.0,732.0
55,35,2012-08-19,13,157,6,-74.0,732.0
56,35,2012-08-19,13,157,6,-74.0,732.0
57,35,2012-08-19,13,157,6,-74.0,732.0
58,35,2012-08-19,13,157,6,-74.0,732.0
59,35,2012-08-19,13,157,6,-74.0,732.0
60,46,2012-08-20,14,157,6,-74.0,740.0
61,46,2012-08-20,14,157,6,-74.0,740.0
62,46,2012-08-20,14,157,6,-74.0,740.0
63,46,2012-08-20,14,157,6,-74.0,740.0
64,46,2012-08-20,14,157,6,-74.0,740.0
65,46,2012-08-20,14,157,6,-74.0,740.0
66,46,2012-08-20,14,157,6,-74.0,740.0
67,46,2012-08-20,14,157,6,-74.0,740.0
68,46,2012-08-20,14,157,6,-74.0,740.0
69,46,2012-08-20,14,157,6,-74.0,740.0
70,46,2012-08-20,14,157,6,-74.0,740.0
71,46,2012-08-20,14,157,6,-74.0,740.0
72,46,2012-08-20,14,157,6,-74.0,740.0
73,46,2012-08-20,14,157,6,-74.0,740.0
74,46,2012-08-20,14,157,6,-74.0,740.0
75,57,2012-08-21,15,158,6,-78.0,740.0
76,57,2012-08-21,15,158,6,-78.0,740.0
77,57,2012-08-21,15,158,6,-78.0,740.0
78,57,2012-08-21,15,158,6,-78.0,740.0
79,57,2012-08-21,15,158,6,-78.0,740.0
80,57,2012-08-21,15,158,6,-78.0,740.0
81,57,2012-08-21,15,158,6,-78.0,740.0
82,57,2012-08-21,15,158,6,-78.0,740.0
83,57,2012-08-21,15,158,6,-78.0,740.0
84,57,2012-08-21,15,158,6,-78.0,740.0
85,57,2012-08-21,15,158,6,-78.0,740.0
86,57,2012-08-21,15,158,6,-78.0,740.0
87,57,2012-08-21,15,158,6,-78.0,740.0
88,57,2012-08-21,15,158,6,-78.0,740.0
89,57,2012-08-21,15,158,6,-78.0,740.0
90,68,2012-08-22,16,158,6,-77.0,740.0
91,68,2012-08-22,16,158,6,-77.0,740.0
92,68,2012-08-22,16,158,6,-77.0,740.0
93,68,2012-08-22,16,158,6,-77.0,740.0
94,68,2012-08-22,16,158,6,-77.0,740.0
95,68,2012-08-22,16,158,6,-77.0,740.0
96,68,2012-08-22,16,158,6,-77.0,740.0
97,68,2012-08-22,16,158,6,-77.0,740.0
98,68,2012-08-22,16,158,6,-77.0,740.0
99,68,2012-08-22,16,158,6,-77.0,740.0
100,68,2012-08-22,16,158,6,-77.0,740.0
101,68,2012-08-22,16,158,6,-77.0,740.0
102,68,2012-08-22,16,158,6,-77.0,740.0
103,68,2012-08-22,16,158,6,-77.0,740.0
104,68,2012-08-22,16,158,6,-77.0,740.0
105,79,2012-08-23,17,159,6,-76.0,742.0
106,79,2012-08-23,17,159,6,-76.0,742.0
107,79,2012-08-23,17,159,6,-76.0,742.0
108,79,2012-08-23,17,159,6,-76.0,742.0
109,79,2012-08-23,17,159,6,-76.0,742.0
110,79,2012-08-23,17,159,6,-76.0,742.0
111,79,2012-08-23,17,159,6,-76.0,742.0
112,79,2012-08-23,17,159,6,-76.0,742.0
113,79,2012-08-23,17,159,6,-76.0,742.0
114,79,2012-08-23,17,159,6,-76.0,742.0
115,79,2012-08-23,17,159,6,-76.0,742.0
116,79,2012-08-23,17,159,6,-76.0,742.0
117,79,2012-08-23,17,159,6,-76.0,742.0
118,79,2012-08-23,17,159,6,-76.0,742.0
119,79,2012-08-23,17,159,6,-76.0,742.0
120,112,2012-08-27,21,161,6,-74.0,741.0
121,112,2012-08-27,21,161,6,-74.0,741.0
122,112,2012-08-27,21,161,6,-74.0,741.0
123,112,2012-08-27,21,161,6,-74.0,741.0
124,112,2012-08-27,21,161,6,-74.0,741.0
125,112,2012-08-27,21,161,6,-74.0,741.0
126,112,2012-08-27,21,161,6,-74.0,741.0
127,112,2012-08-27,21,161,6,-74.0,741.0
128,112,2012-08-27,21,161,6,-74.0,741.0
129,112,2012-08-27,21,161,6,-74.0,741.0
130,112,2012-08-27,21,161,6,-74.0,741.0
131,112,2012-08-27,21,161,6,-74.0,741.0
132,112,2012-08-27,21,161,6,-74.0,741.0
133,112,2012-08-27,21,161,6,-74.0,741.0
134,112,2012-08-27,21,161,6,-74.0,741.0
135,114,2012-08-28,22,162,6,-74.0,742.0
136,114,2012-08-28,22,162,6,-74.0,742.0
137,114,2012-08-28,22,162,6,-74.0,742.0
138,114,2012-08-28,22,162,6,-74.0,742.0
139,114,2012-08-28,22,162,6,-74.0,742.0
140,114,2012-08-28,22,162,6,-74.0,742.0
141,114,2012-08-28,22,162,6,-74.0,742.0
142,114,2012-08-28,22,162,6,-74.0,742.0
143,114,2012-08-28,22,162,6,-74.0,742.0
144,114,2012-08-28,22,162,6,-74.0,742.0
145,114,2012-08-28,22,162,6,-74.0,742.0
146,114,2012-08-28,22,162,6,-74.0,742.0
147,114,2012-08-28,22,162,6,-74.0,742.0
148,114,2012-08-28,22,162,6,-74.0,742.0
149,114,2012-08-28,22,162,6,-74.0,742.0
150,123,2012-08-29,23,162,6,-75.0,741.0
151,123,2012-08-29,23,162,6,-75.0,741.0
152,123,2012-08-29,23,162,6,-75.0,741.0
153,123,2012-08-29,23,162,6,-75.0,741.0
154,123,2012-08-29,23,162,6,-75.0,741.0
155,123,2012-08-29,23,162,6,-75.0,741.0
156,123,2012-08-29,23,162,6,-75.0,741.0
157,123,2012-08-29,23,162,6,-75.0,741.0
158,123,2012-08-29,23,162,6,-75.0,741.0
159,123,2012-08-29,23,162,6,-75.0,741.0
160,123,2012-08-29,23,162,6,-75.0,741.0
161,123,2012-08-29,23,162,6,-75.0,741.0
162,123,2012-08-29,23,162,6,-75.0,741.0
163,123,2012-08-29,23,162,6,-75.0,741.0
164,123,2012-08-29,23,162,6,-75.0,741.0
165,134,2012-08-30,24,163,6,-75.0,742.0
166,134,2012-08-30,24,163,6,-75.0,742.0
167,134,2012-08-30,24,163,6,-75.0,742.0
168,134,2012-08-30,24,163,6,-75.0,742.0
169,134,2012-08-30,24,163,6,-75.0,742.0
170,134,2012-08-30,24,163,6,-75.0,742.0
171,134,2012-08-30,24,163,6,-75.0,742.0
172,134,2012-08-30,24,163,6,-75.0,742.0
173,134,2012-08-30,24,163,6,-75.0,742.0
174,134,2012-08-30,24,163,6,-75.0,742.0
175,134,2012-08-30,24,163,6,-75.0,742.0
176,134,2012-08-30,24,163,6,-75.0,742.0
177,134,2012-08-30,24,163,6,-75.0,742.0
178,134,2012-08-30,24,163,6,-75.0,742.0
179,134,2012-08-30,24,163,6,-75.0,742.0
180,145,2012-08-31,25,163,6,-75.0,743.0
181,145,2012-08-31,25,163,6,-75.0,743.0
182,145,2012-08-31,25,163,6,-75.0,743.0
183,145,2012-08-31,25,163,6,-75.0,743.0
